04/21/2025 03:36:23 PM True Label : 1 | Predicted Label : 0 | Total Queries : 1
04/21/2025 10:34:08 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/21/2025 10:34:08 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/21/2025 10:34:08 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/21/2025 10:34:08 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/21/2025 10:34:08 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/21/2025 10:34:08 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/21/2025 10:34:09 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/21/2025 10:34:09 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/21/2025 10:34:09 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/21/2025 10:34:09 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/21/2025 10:34:09 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/21/2025 10:34:09 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/21/2025 10:34:10 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/21/2025 10:34:10 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/21/2025 10:34:10 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/21/2025 10:34:10 PM True Label : 1 | Predicted Label : 1 | Total Queries : 24
04/21/2025 10:34:11 PM Final Accuracy : 0.7361111111111112
04/21/2025 10:34:11 PM Finished Attack
04/21/2025 11:22:40 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/21/2025 11:22:40 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/21/2025 11:22:40 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/21/2025 11:22:40 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/21/2025 11:22:40 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/21/2025 11:22:41 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/21/2025 11:22:41 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/21/2025 11:22:41 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/21/2025 11:22:41 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/21/2025 11:22:41 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/21/2025 11:22:41 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/21/2025 11:22:42 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/21/2025 11:22:42 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/21/2025 11:22:42 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/21/2025 11:22:42 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/21/2025 11:22:42 PM True Label : 1 | Predicted Label : 1 | Total Queries : 24
04/21/2025 11:22:44 PM Final Accuracy : 0.7361111111111112
04/21/2025 11:22:44 PM Finished Attack
04/22/2025 01:19:26 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/22/2025 01:19:27 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:19:27 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:19:27 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:19:27 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:19:27 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:19:28 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:19:28 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/22/2025 01:19:28 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/22/2025 01:19:28 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:19:28 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:19:29 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/22/2025 01:19:29 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:19:29 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/22/2025 01:19:29 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:19:29 PM True Label : 1 | Predicted Label : 1 | Total Queries : 24
04/22/2025 01:19:31 PM Final Accuracy : 0.751984126984127
04/22/2025 01:19:31 PM Finished Attack
04/22/2025 01:29:22 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:29:22 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:29:22 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:29:22 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:29:22 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:29:23 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/22/2025 01:29:23 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/22/2025 01:29:23 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:29:23 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:29:23 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:29:24 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/22/2025 01:29:24 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:29:24 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/22/2025 01:29:24 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/22/2025 01:29:24 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/22/2025 01:29:25 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:29:25 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/22/2025 01:29:25 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:29:25 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/22/2025 01:29:25 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:29:26 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/22/2025 01:29:26 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/22/2025 01:29:26 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/22/2025 01:29:26 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/22/2025 01:29:26 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:29:26 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/22/2025 01:29:27 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:29:27 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:29:27 PM True Label : 1 | Predicted Label : 1 | Total Queries : 32
04/22/2025 01:29:27 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/22/2025 01:29:27 PM True Label : 1 | Predicted Label : 0 | Total Queries : 32
04/22/2025 01:29:29 PM Final Accuracy : 0.44455645161290325
04/22/2025 01:29:29 PM Finished Attack
